month,avg_shipping_cost
2016-10,47.838359375
2016-12,61.32
2017-01,46.4449514563107
2017-02,46.2350306748466
2017-03,48.1137392055268
2017-04,45.6904064642507
2017-05,46.3202847621933
2017-06,43.6152427184466
2017-07,45.0038307650716
2017-08,44.5583384069
2017-09,43.7640864389234
2017-10,45.1449879980797
2017-11,44.8726979384523
2017-12,43.5224575056318
2018-01,42.7807445463168
2018-02,44.8146936377371
2018-03,42.3894852015113
2018-04,41.8841896325459
2018-05,42.6477014335146
2018-06,43.3008078961799
2018-07,45.2675388940956
2018-08,46.5005453219041
