customer_id,total_spent,spending_tier
HPn6AeIxzhnN,2794.5,Medium Spender
Afunih0oQRid,2794.5,Medium Spender
zqWOTZI8QCtu,2784.16,Medium Spender
xyos2j2LUKQh,2784.16,Medium Spender
w3YzPRry3fLe,2784.16,Medium Spender
pHgBPqSGmCYg,2784.16,Medium Spender
lwuaIMQu7U4n,2784.16,Medium Spender
iNVZ1KwIwKVn,2784.16,Medium Spender
ejsOMBE09tD4,2784.16,Medium Spender
cbvD0z9nLoNp,2784.16,Medium Spender
XFREbk3HCOqv,2784.16,Medium Spender
SOUvNrcU8EtD,2784.16,Medium Spender
PgVmK46klYON,2784.16,Medium Spender
LawEgNmTxYcP,2784.16,Medium Spender
Ji57E7KonaZi,2784.16,Medium Spender
GZcRKxmRuMO1,2784.16,Medium Spender
FwxKFU2XR2Ea,2784.16,Medium Spender
BybeeNnac9qt,2784.16,Medium Spender
8LZ2w8hGcqfc,2784.16,Medium Spender
xPpGLOTi3S7Y,2759.95,Medium Spender
x72UITWZ7JX9,2759.95,Medium Spender
uqCUB2mTXtlt,2759.95,Medium Spender
tOwU0QMfZbhP,2759.95,Medium Spender
t8NkotDppJZN,2759.95,Medium Spender
sy5VqVT3xVJl,2759.95,Medium Spender
rEvKJaI2b6sk,2759.95,Medium Spender
qp7UiAhxJo9u,2759.95,Medium Spender
qfdsZbX5Zndo,2759.95,Medium Spender
pIhVYRNxGK8y,2759.95,Medium Spender
otqaMlp5S2ZH,2759.95,Medium Spender
olouAHZsM3Or,2759.95,Medium Spender
nx1w3qnU9nqQ,2759.95,Medium Spender
n2wnvHNI317g,2759.95,Medium Spender
mIXSZyuu5PVq,2759.95,Medium Spender
hjUBvIxmQe6q,2759.95,Medium Spender
f4oq89GWFNxp,2759.95,Medium Spender
VijlW53QCDMh,2759.95,Medium Spender
TTEDO6SN5o0x,2759.95,Medium Spender
O3PzAL2Bvb3Y,2759.95,Medium Spender
NnLh6cDYKoI4,2759.95,Medium Spender
GaxlRQsOJgQz,2759.95,Medium Spender
ErpnYhnzE1Iu,2759.95,Medium Spender
9svznrPv7s1Z,2759.95,Medium Spender
7qDKOvtgagcj,2759.95,Medium Spender
Wo1IizRk7gTi,2759.88,Medium Spender
nK0iwLPoQtny,2751.24,Medium Spender
EA4NFKTRWZl9,2751.24,Medium Spender
wMRaLqBHntW4,2734.66,Medium Spender
piyDmPpahYt0,2732.06,Medium Spender
mlmlDfDEpWHd,2732.06,Medium Spender
9CcJAKdzmbWT,2732.06,Medium Spender
24tglrwXXsNg,2732.06,Medium Spender
zgRWI31p48uv,2713.36,Medium Spender
nQPk5zYaxJC2,2713.36,Medium Spender
3dHEZFFpoyWL,2713.36,Medium Spender
LFEbUacVweMk,2681.29,Medium Spender
jngocPgL90Aj,2647.76,Medium Spender
Eb0PCI3JVwzj,2638.64,Medium Spender
yS5SuOvCY0tu,2627.09,Medium Spender
j6URJbgkhDOn,2627.09,Medium Spender
gUu4cqQOgCs7,2627.09,Medium Spender
Yy2D0KiBOok1,2627.09,Medium Spender
QvBHEfIHYhaA,2626.07,Medium Spender
HSta0QO1U0gC,2626.07,Medium Spender
wiwI10zmRkNA,2616.0,Medium Spender
pSQe5rWg6HX0,2616.0,Medium Spender
GT19lp3P7Jb8,2607.09,Medium Spender
Hz8VT022TXGj,2606.01,Medium Spender
y4AqDZCpqEiU,2590.61,Medium Spender
gYSlfjrR8aGS,2590.61,Medium Spender
SRxH6Kxttu51,2590.61,Medium Spender
HLaNkhzYJfvZ,2590.61,Medium Spender
DOsrXTd3Ri88,2590.61,Medium Spender
318n0db79d19,2590.61,Medium Spender
Ri2U0xTBqJAi,2574.38,Medium Spender
