customer_id,total_spent
zgRWI31p48uv,2713.36
nQPk5zYaxJC2,2713.36
3dHEZFFpoyWL,2713.36
LFEbUacVweMk,2681.29
jngocPgL90Aj,2647.76
Eb0PCI3JVwzj,2638.64
yS5SuOvCY0tu,2627.09
j6URJbgkhDOn,2627.09
gUu4cqQOgCs7,2627.09
Yy2D0KiBOok1,2627.09
QvBHEfIHYhaA,2626.07
HSta0QO1U0gC,2626.07
wiwI10zmRkNA,2616.0
pSQe5rWg6HX0,2616.0
GT19lp3P7Jb8,2607.09
Hz8VT022TXGj,2606.01
y4AqDZCpqEiU,2590.61
gYSlfjrR8aGS,2590.61
SRxH6Kxttu51,2590.61
HLaNkhzYJfvZ,2590.61
DOsrXTd3Ri88,2590.61
318n0db79d19,2590.61
Ri2U0xTBqJAi,2574.38
tXBNlMerpUeJ,2566.9
orGgRcfz0cCn,2566.9
WkDFNpzzo4kH,2566.9
S1abqqroFQ1e,2566.9
Ou2BBnGZTAYr,2566.9
MyhGGmZlZ9er,2566.9
JVuk1wiN3Lav,2566.9
InNHektt8pHm,2566.9
B1TESUiiAv7X,2566.9
Ad5zZykdo6Mn,2566.9
A6wznDYWBV6T,2566.9
v3z86u4DxnOM,2564.65
t5FDlgl83Otq,2564.65
t2iALB4mB6Jw,2564.65
VEYfhBQA5K1f,2564.65
TQZMo7D9ynCW,2564.65
HGkTJtyOpNx7,2564.65
6wh1yYqYJbgo,2564.65
rTbQqpnnWCqv,2512.53
n14TaCZvu9wn,2512.53
YhDTyhMZtwHE,2512.53
Wt5Lm4fpaPxW,2512.53
MW0vwb4uzjNy,2512.53
L54Rlw2yupgd,2512.53
IYOg2lSURkmW,2512.53
E4VnSAX0reXJ,2512.53
A887EQYUVXY9,2512.53
voagyVWQw6eA,2487.24
6tkapiHD3iKB,2487.24
0prehjAN6BOI,2480.58
OxInmIUUu2UL,2467.33
EkfxQDruJRB8,2467.33
vSH73GQAVoeU,2467.17
qLi1M2m38Plu,2467.17
hm4C4JCOdr7S,2467.17
ZjNIDozvbowQ,2467.17
Y1lnTCiJZW9D,2467.17
VTSKzKJZeP8T,2467.17
PjDCrSj5cKtM,2467.17
Pd5Sy61UwPYu,2467.17
O7qYSrBnKKWr,2467.17
JfaVMUgFzeik,2467.17
pSiGYoDsg2dg,2457.44
fIs7Aky6B1tl,2457.44
NHFwVtETvhVA,2457.44
D8uDhNDrnrUc,2457.44
D0SvYIJ5PdI7,2457.44
o6Kf9FYQCGZw,2455.12
fATdpltpOXlf,2455.12
8ygBnXULEs71,2452.12
mebKPEG0FEu1,2442.82
gWXIhN4AMk9T,2442.82
Aoqal0pjJRqJ,2442.82
Xz2ayXjrEEUH,2438.51
W6ew2yGVWCfF,2438.51
NFlPXiTnyisw,2438.51
yKEoXEfE432q,2429.68
l3fSgVjpLWwj,2429.68
MgTFnyAi2pFl,2416.0
3iG2pQEPZLA1,2416.0
ZLXq8MtYpmVZ,2404.72
vP4iU4huIZrV,2389.78
igwBxcJcU7CF,2389.78
oql6t3yAcQ5u,2384.5
nuskeKAejlM8,2384.5
mdGY11iJXKat,2384.5
hixxrnGsmAsG,2384.5
9eOYi8MOSjDU,2384.5
jiwiNWV0kQkq,2360.42
Un5dvH5bdhfm,2338.48
t3qEyQIyo0Zm,2337.4
fOSRq6gKtOHV,2337.4
jNW5zTOIL0Bs,2333.97
TZc2Kf0POXfv,2333.97
81pRzMsQXJvL,2333.97
LV0ji0a31gIJ,2328.4
